Winner,Loser,Winner_Name,Loser_Name
3,69,['Juan-Martin-Del-Potro'],['Philipp-Kohlschreiber']
3,69,['Juan-Martin-Del-Potro'],['Philipp-Kohlschreiber']
3,4,['Juan-Martin-Del-Potro'],['Mardy-Fish']
4,3,['Mardy-Fish'],['Juan-Martin-Del-Potro']
3,20,['Juan-Martin-Del-Potro'],['Radek-Stepanek']
3,23,['Juan-Martin-Del-Potro'],['Ivan-Ljubicic']
3,33,['Juan-Martin-Del-Potro'],['Alexandr-Dolgopolov']
3,70,['Juan-Martin-Del-Potro'],['Tommy-Robredo']
3,21,['Juan-Martin-Del-Potro'],['John-Isner']
3,18,['Juan-Martin-Del-Potro'],['Ivan-Dodig']
15,3,['Andy-Roddick'],['Juan-Martin-Del-Potro']
3,71,['Juan-Martin-Del-Potro'],['Lleyton-Hewitt']
27,3,['Marcos-Baghdatis'],['Juan-Martin-Del-Potro']
3,25,['Juan-Martin-Del-Potro'],['Feliciano-Lopez']
8,3,['Florian-Mayer'],['Juan-Martin-Del-Potro']
6,4,['Jo-Wilfried-Tsonga'],['Mardy-Fish']
6,4,['Jo-Wilfried-Tsonga'],['Mardy-Fish']
5,4,['Roger-Federer'],['Mardy-Fish']
4,8,['Mardy-Fish'],['Florian-Mayer']
66,4,['James-Blake'],['Mardy-Fish']
4,38,['Mardy-Fish'],['Bernard-Tomic']
38,4,['Bernard-Tomic'],['Mardy-Fish']
4,72,['Mardy-Fish'],['Ryan-Harrison']
4,72,['Mardy-Fish'],['Ryan-Harrison']
4,72,['Mardy-Fish'],['Ryan-Harrison']
4,40,['Mardy-Fish'],['Ernests-Gulbis']
4,40,['Mardy-Fish'],['Ernests-Gulbis']
40,4,['Ernests-Gulbis'],['Mardy-Fish']
4,63,['Mardy-Fish'],['Kevin-Anderson']
4,41,['Mardy-Fish'],['Nikolay-Davydenko']
4,12,['Mardy-Fish'],['Richard-Gasquet']
4,12,['Mardy-Fish'],['Richard-Gasquet']
11,4,['Andy-Murray'],['Mardy-Fish']
4,25,['Mardy-Fish'],['Feliciano-Lopez']
25,4,['Feliciano-Lopez'],['Mardy-Fish']
4,47,['Mardy-Fish'],['Stanislas-Wawrinka']
4,48,['Mardy-Fish'],['Janko-Tipsarevic']
16,4,['Novak-Djokovic'],['Mardy-Fish']
16,4,['Novak-Djokovic'],['Mardy-Fish']
4,14,['Mardy-Fish'],['Gilles-Muller']
4,68,['Mardy-Fish'],['Igor-Kunitsyn']
4,35,['Mardy-Fish'],['Somdev-K-Devvarman']
4,21,['Mardy-Fish'],['John-Isner']
21,4,['John-Isner'],['Mardy-Fish']
4,30,['Mardy-Fish'],['David-Ferrer']
30,4,['David-Ferrer'],['Mardy-Fish']
4,46,['Mardy-Fish'],['Marcel-Granollers']
4,67,['Mardy-Fish'],['Denis-Istomin']
4,60,['Mardy-Fish'],['Robin-Haase']
4,60,['Mardy-Fish'],['Robin-Haase']
4,34,['Mardy-Fish'],['Tomas-Berdych']
42,4,['Gilles-Simon'],['Mardy-Fish']
4,10,['Mardy-Fish'],['Santiago-Giraldo']
4,23,['Mardy-Fish'],['Ivan-Ljubicic']
26,4,['Marin-Cilic'],['Mardy-Fish']
4,73,['Mardy-Fish'],['Albert-Ramos']
32,4,['Kei-Nishikori'],['Mardy-Fish']
9,4,['Milos-Raonic'],['Mardy-Fish']
9,4,['Milos-Raonic'],['Mardy-Fish']
4,64,['Mardy-Fish'],['Sam-Querrey']
4,56,['Mardy-Fish'],['Victor-Hanescu']
70,4,['Tommy-Robredo'],['Mardy-Fish']
4,61,['Mardy-Fish'],['Adrian-Mannarino']
20,4,['Radek-Stepanek'],['Mardy-Fish']
5,6,['Roger-Federer'],['Jo-Wilfried-Tsonga']
5,6,['Roger-Federer'],['Jo-Wilfried-Tsonga']
5,6,['Roger-Federer'],['Jo-Wilfried-Tsonga']
5,6,['Roger-Federer'],['Jo-Wilfried-Tsonga']
5,6,['Roger-Federer'],['Jo-Wilfried-Tsonga']
5,6,['Roger-Federer'],['Jo-Wilfried-Tsonga']
6,5,['Jo-Wilfried-Tsonga'],['Roger-Federer']
6,5,['Jo-Wilfried-Tsonga'],['Roger-Federer']
5,30,['Roger-Federer'],['David-Ferrer']
5,61,['Roger-Federer'],['Adrian-Mannarino']
5,61,['Roger-Federer'],['Adrian-Mannarino']
5,12,['Roger-Federer'],['Richard-Gasquet']
5,12,['Roger-Federer'],['Richard-Gasquet']
12,5,['Richard-Gasquet'],['Roger-Federer']
5,34,['Roger-Federer'],['Tomas-Berdych']
34,5,['Tomas-Berdych'],['Roger-Federer']
5,74,['Roger-Federer'],['Potito-Starace']
5,31,['Roger-Federer'],['Jarkko-Nieminen']
5,15,['Roger-Federer'],['Andy-Roddick']
5,47,['Roger-Federer'],['Stanislas-Wawrinka']
5,47,['Roger-Federer'],['Stanislas-Wawrinka']
5,47,['Roger-Federer'],['Stanislas-Wawrinka']
5,47,['Roger-Federer'],['Stanislas-Wawrinka']
5,32,['Roger-Federer'],['Kei-Nishikori']
5,71,['Roger-Federer'],['Lleyton-Hewitt']
5,38,['Roger-Federer'],['Bernard-Tomic']
5,10,['Roger-Federer'],['Santiago-Giraldo']
5,26,['Roger-Federer'],['Marin-Cilic']
5,26,['Roger-Federer'],['Marin-Cilic']
5,16,['Roger-Federer'],['Novak-Djokovic']
16,5,['Novak-Djokovic'],['Roger-Federer']
16,5,['Novak-Djokovic'],['Roger-Federer']
16,5,['Novak-Djokovic'],['Roger-Federer']
16,5,['Novak-Djokovic'],['Roger-Federer']
5,66,['Roger-Federer'],['James-Blake']
5,75,['Roger-Federer'],['Rui-Machado']
5,52,['Roger-Federer'],['Mikhail-Kukushkin']
5,13,['Roger-Federer'],['David-Nalbandian']
5,53,['Roger-Federer'],['Mikhail-Youzhny']
5,25,['Roger-Federer'],['Feliciano-Lopez']
5,25,['Roger-Federer'],['Feliciano-Lopez']
5,48,['Roger-Federer'],['Janko-Tipsarevic']
5,29,['Roger-Federer'],['Gael-Monfils']
5,76,['Roger-Federer'],['Xavier-Malisse']
5,76,['Roger-Federer'],['Xavier-Malisse']
5,24,['Roger-Federer'],['Robin-Soderling']
5,69,['Roger-Federer'],['Philipp-Kohlschreiber']
77,5,['Jurgen-Melzer'],['Roger-Federer']
5,20,['Roger-Federer'],['Radek-Stepanek']
5,37,['Roger-Federer'],['Olivier-Rochus']
5,42,['Roger-Federer'],['Gilles-Simon']
5,42,['Roger-Federer'],['Gilles-Simon']
5,78,['Roger-Federer'],['Igor-Andreev']
5,79,['Roger-Federer'],['Juan-Ignacio-Chela']
5,72,['Roger-Federer'],['Ryan-Harrison']
5,35,['Roger-Federer'],['Somdev-K-Devvarman']
5,46,['Roger-Federer'],['Marcel-Granollers']
5,55,['Roger-Federer'],['Sergiy-Stakhovsky']
5,70,['Roger-Federer'],['Tommy-Robredo']
5,80,['Roger-Federer'],['Viktor-Troicki']
5,41,['Roger-Federer'],['Nikolay-Davydenko']
6,34,['Jo-Wilfried-Tsonga'],['Tomas-Berdych']
6,34,['Jo-Wilfried-Tsonga'],['Tomas-Berdych']
34,6,['Tomas-Berdych'],['Jo-Wilfried-Tsonga']
6,7,['Jo-Wilfried-Tsonga'],['Guillermo-Garcia-Lopez']
6,7,['Jo-Wilfried-Tsonga'],['Guillermo-Garcia-Lopez']
6,49,['Jo-Wilfried-Tsonga'],['Andreas-Seppi']
6,49,['Jo-Wilfried-Tsonga'],['Andreas-Seppi']
6,16,['Jo-Wilfried-Tsonga'],['Novak-Djokovic']
16,6,['Novak-Djokovic'],['Jo-Wilfried-Tsonga']
16,6,['Novak-Djokovic'],['Jo-Wilfried-Tsonga']
6,21,['Jo-Wilfried-Tsonga'],['John-Isner']
64,6,['Sam-Querrey'],['Jo-Wilfried-Tsonga']
6,31,['Jo-Wilfried-Tsonga'],['Jarkko-Nieminen']
6,76,['Jo-Wilfried-Tsonga'],['Xavier-Malisse']
76,6,['Xavier-Malisse'],['Jo-Wilfried-Tsonga']
32,6,['Kei-Nishikori'],['Jo-Wilfried-Tsonga']
6,54,['Jo-Wilfried-Tsonga'],['Grigor-Dimitrov']
6,54,['Jo-Wilfried-Tsonga'],['Grigor-Dimitrov']
